"pair_key","doc_id","sentence_id","start","end","text","relation_type","LSF_entity","LSF_entity_start","LSF_entity_end","disease_entity","disease_entity_start","disease_entity_end","Data_Set","section","word_count","context_text","masked_context_text","context_word_count"
"10516985 16 T18_T20","10516985",16,2323,2611,"The epidemiologic studies of hyperhomocysteinemia are impressive enough to give folic acid (or vitamin B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed. ","treats","vitamin B6",2418,2427,"hyperhomocysteinemia",2352,2371,"dev-set","",42,"The United States Department of Agriculture has good recommendations to prevent atherosclerosis; a stricter version by Ornish was shown to reverse coronary heart disease, and the low meat, high fruit, and vegetable DASH diet has been found to decrease hypertension.  The epidemiologic studies of hyperhomocysteinemia are impressive enough to give folic acid (or vitamin B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed.  Soluble fiber has several positive studies in reduction of cholesterol levels and generally is accepted. ","The United States Department of Agriculture has good recommendations to prevent atherosclerosis; a stricter version by Ornish was shown to reverse coronary heart disease, and the low meat, high fruit, and vegetable DASH diet has been found to decrease hypertension.  The epidemiologic studies of[OUTCOME]a are impressive enough to give folic acid (or[FACTOR]6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed.  Soluble fiber has several positive studies in reduction of cholesterol levels and generally is accepted.",97
"10516985 16 T18_T21","10516985",16,2323,2611,"The epidemiologic studies of hyperhomocysteinemia are impressive enough to give folic acid (or vitamin B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed. ","treats","supplements",2437,2447,"hyperhomocysteinemia",2352,2371,"dev-set","",42,"The United States Department of Agriculture has good recommendations to prevent atherosclerosis; a stricter version by Ornish was shown to reverse coronary heart disease, and the low meat, high fruit, and vegetable DASH diet has been found to decrease hypertension.  The epidemiologic studies of hyperhomocysteinemia are impressive enough to give folic acid (or vitamin B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed.  Soluble fiber has several positive studies in reduction of cholesterol levels and generally is accepted. ","The United States Department of Agriculture has good recommendations to prevent atherosclerosis; a stricter version by Ornish was shown to reverse coronary heart disease, and the low meat, high fruit, and vegetable DASH diet has been found to decrease hypertension.  The epidemiologic studies of[OUTCOME]a are impressive enough to give folic acid (or vitamin B6 or B12)[FACTOR]s to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed.  Soluble fiber has several positive studies in reduction of cholesterol levels and generally is accepted.",97
"10516985 16 T18_T4","10516985",16,2323,2611,"The epidemiologic studies of hyperhomocysteinemia are impressive enough to give folic acid (or vitamin B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed. ","treats","B12",2432,2434,"hyperhomocysteinemia",2352,2371,"dev-set","",42,"The United States Department of Agriculture has good recommendations to prevent atherosclerosis; a stricter version by Ornish was shown to reverse coronary heart disease, and the low meat, high fruit, and vegetable DASH diet has been found to decrease hypertension.  The epidemiologic studies of hyperhomocysteinemia are impressive enough to give folic acid (or vitamin B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed.  Soluble fiber has several positive studies in reduction of cholesterol levels and generally is accepted. ","The United States Department of Agriculture has good recommendations to prevent atherosclerosis; a stricter version by Ornish was shown to reverse coronary heart disease, and the low meat, high fruit, and vegetable DASH diet has been found to decrease hypertension.  The epidemiologic studies of[OUTCOME]a are impressive enough to give folic acid (or vitamin B6 or[FACTOR]2) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed.  Soluble fiber has several positive studies in reduction of cholesterol levels and generally is accepted.",97
"10516985 21 T24_T7","10516985",21,3099,3190,"Vitamin E also was successful in prevention of restenosis after PTCA in one clinical trial. ","prevents","Vitamin E",3099,3107,"restenosis after PTCA",3146,3166,"dev-set","",15,"Levels of 400 mg appeared to decrease cardiovascular disease in the United States in studies based on reports by patients and in one large clinical trial.  Vitamin E also was successful in prevention of restenosis after PTCA in one clinical trial.  Both of these clinical trials need to be repeated in other developed country populations. ","Levels of 400 mg appeared to decrease cardiovascular disease in the United States in studies based on reports by patients and in one large clinical trial. [FACTOR]E also was successful in prevention of[OUTCOME]A in one clinical trial.  Both of these clinical trials need to be repeated in other developed country populations.",55
"10516985 3 T3_T47","10516985",3,178,450,"Glucosamine sulfate and chondroitin sulfate have sufficient controlled trials to warrant their use in osteoarthritis, having less side effects than currently used nonsteroidal anti-inflammatory drugs, and are the only treatment shown to prevent progression of the disease. ","treats","Glucosamine sulfate",178,196,"osteoarthritis",280,293,"dev-set","",38,"Quality and number of subjects in blinded controlled clinical trials about the nutrition and dietary supplements discussed here is variable.  Glucosamine sulfate and chondroitin sulfate have sufficient controlled trials to warrant their use in osteoarthritis, having less side effects than currently used nonsteroidal anti-inflammatory drugs, and are the only treatment shown to prevent progression of the disease.  Dietary supplements of ephedrine plus caffeine for weight loss (weight loss being the current first line recommendation of physicians for osteoporosis) show some promise, but are not sufficient in number of study subjects. ","Quality and number of subjects in blinded controlled clinical trials about the nutrition and dietary supplements discussed here is variable. [FACTOR]e and chondroitin sulfate have sufficient controlled trials to warrant their use in[OUTCOME]s, having less side effects than currently used nonsteroidal anti-inflammatory drugs, and are the only treatment shown to prevent progression of the disease.  Dietary supplements of ephedrine plus caffeine for weight loss (weight loss being the current first line recommendation of physicians for osteoporosis) show some promise, but are not sufficient in number of study subjects.",91
"10516985 3 T3_T48","10516985",3,178,450,"Glucosamine sulfate and chondroitin sulfate have sufficient controlled trials to warrant their use in osteoarthritis, having less side effects than currently used nonsteroidal anti-inflammatory drugs, and are the only treatment shown to prevent progression of the disease. ","treats","chondroitin sulfate",202,220,"osteoarthritis",280,293,"dev-set","",38,"Quality and number of subjects in blinded controlled clinical trials about the nutrition and dietary supplements discussed here is variable.  Glucosamine sulfate and chondroitin sulfate have sufficient controlled trials to warrant their use in osteoarthritis, having less side effects than currently used nonsteroidal anti-inflammatory drugs, and are the only treatment shown to prevent progression of the disease.  Dietary supplements of ephedrine plus caffeine for weight loss (weight loss being the current first line recommendation of physicians for osteoporosis) show some promise, but are not sufficient in number of study subjects. ","Quality and number of subjects in blinded controlled clinical trials about the nutrition and dietary supplements discussed here is variable.  Glucosamine sulfate and[FACTOR]e have sufficient controlled trials to warrant their use in[OUTCOME]s, having less side effects than currently used nonsteroidal anti-inflammatory drugs, and are the only treatment shown to prevent progression of the disease.  Dietary supplements of ephedrine plus caffeine for weight loss (weight loss being the current first line recommendation of physicians for osteoporosis) show some promise, but are not sufficient in number of study subjects.",91
"10516985 4 T51_T6","10516985",4,451,673,"Dietary supplements of ephedrine plus caffeine for weight loss (weight loss being the current first line recommendation of physicians for osteoporosis) show some promise, but are not sufficient in number of study subjects. ","no_relation","ephedrine",474,482,"osteoporosis",589,600,"dev-set","",33,"Glucosamine sulfate and chondroitin sulfate have sufficient controlled trials to warrant their use in osteoarthritis, having less side effects than currently used nonsteroidal anti-inflammatory drugs, and are the only treatment shown to prevent progression of the disease.  Dietary supplements of ephedrine plus caffeine for weight loss (weight loss being the current first line recommendation of physicians for osteoporosis) show some promise, but are not sufficient in number of study subjects.  Phenylpropanolamine is proven successful in weight loss. ","Glucosamine sulfate and chondroitin sulfate have sufficient controlled trials to warrant their use in osteoarthritis, having less side effects than currently used nonsteroidal anti-inflammatory drugs, and are the only treatment shown to prevent progression of the disease.  Dietary supplements of[FACTOR]e plus caffeine for weight loss (weight loss being the current first line recommendation of physicians for[OUTCOME]s) show some promise, but are not sufficient in number of study subjects.  Phenylpropanolamine is proven successful in weight loss.",78
"10629447 5 T10_T16","10629447",5,410,739,"Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor. ","no_relation","diesel exhaust",645,658,"allergic diseases",713,729,"train-set","",47,"Among the potential environmental factors, exposure to ambient air pollution has been intensely debated.  Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor.  Rather, factors associated with the lifestyle of populations or families, such as socioeconomic status, allergen exposure, sibship size, early childhood infections, dietary habits, and growing up in anthroposophic families or a farming environment, may prove to be of greater relevance. ","Among the potential environmental factors, exposure to ambient air pollution has been intensely debated.  Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter,[FACTOR]t, and ozone is causally related with the inception of[OUTCOME]s is poor.  Rather, factors associated with the lifestyle of populations or families, such as socioeconomic status, allergen exposure, sibship size, early childhood infections, dietary habits, and growing up in anthroposophic families or a farming environment, may prove to be of greater relevance.",101
"10629447 5 T10_T8","10629447",5,410,739,"Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor. ","no_relation","sulfur dioxide",609,622,"allergic diseases",713,729,"train-set","",47,"Among the potential environmental factors, exposure to ambient air pollution has been intensely debated.  Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor.  Rather, factors associated with the lifestyle of populations or families, such as socioeconomic status, allergen exposure, sibship size, early childhood infections, dietary habits, and growing up in anthroposophic families or a farming environment, may prove to be of greater relevance. ","Among the potential environmental factors, exposure to ambient air pollution has been intensely debated.  Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to[FACTOR]e, particulate matter, diesel exhaust, and ozone is causally related with the inception of[OUTCOME]s is poor.  Rather, factors associated with the lifestyle of populations or families, such as socioeconomic status, allergen exposure, sibship size, early childhood infections, dietary habits, and growing up in anthroposophic families or a farming environment, may prove to be of greater relevance.",101
"10629447 5 T14_T5","10629447",5,410,739,"Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor. ","positive_statistical_association","passive smoking",418,432,"bronchial hyperresponsiveness",505,533,"train-set","",47,"Among the potential environmental factors, exposure to ambient air pollution has been intensely debated.  Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor.  Rather, factors associated with the lifestyle of populations or families, such as socioeconomic status, allergen exposure, sibship size, early childhood infections, dietary habits, and growing up in anthroposophic families or a farming environment, may prove to be of greater relevance. ","Among the potential environmental factors, exposure to ambient air pollution has been intensely debated.  Besides[FACTOR]g, which has convincingly been shown to increase the risk for asthma and[OUTCOME]s among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor.  Rather, factors associated with the lifestyle of populations or families, such as socioeconomic status, allergen exposure, sibship size, early childhood infections, dietary habits, and growing up in anthroposophic families or a farming environment, may prove to be of greater relevance.",101
"10629447 5 T15_T6","10629447",5,410,739,"Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor. ","no_relation","ozone",665,669,"asthma",494,499,"train-set","",47,"Among the potential environmental factors, exposure to ambient air pollution has been intensely debated.  Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor.  Rather, factors associated with the lifestyle of populations or families, such as socioeconomic status, allergen exposure, sibship size, early childhood infections, dietary habits, and growing up in anthroposophic families or a farming environment, may prove to be of greater relevance. ","Among the potential environmental factors, exposure to ambient air pollution has been intensely debated.  Besides passive smoking, which has convincingly been shown to increase the risk for[OUTCOME]a and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and[FACTOR]e is causally related with the inception of allergic diseases is poor.  Rather, factors associated with the lifestyle of populations or families, such as socioeconomic status, allergen exposure, sibship size, early childhood infections, dietary habits, and growing up in anthroposophic families or a farming environment, may prove to be of greater relevance.",101
"10629447 5 T5_T6","10629447",5,410,739,"Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor. ","positive_statistical_association","passive smoking",418,432,"asthma",494,499,"train-set","",47,"Among the potential environmental factors, exposure to ambient air pollution has been intensely debated.  Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor.  Rather, factors associated with the lifestyle of populations or families, such as socioeconomic status, allergen exposure, sibship size, early childhood infections, dietary habits, and growing up in anthroposophic families or a farming environment, may prove to be of greater relevance. ","Among the potential environmental factors, exposure to ambient air pollution has been intensely debated.  Besides[FACTOR]g, which has convincingly been shown to increase the risk for[OUTCOME]a and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor.  Rather, factors associated with the lifestyle of populations or families, such as socioeconomic status, allergen exposure, sibship size, early childhood infections, dietary habits, and growing up in anthroposophic families or a farming environment, may prove to be of greater relevance.",101
"10773774 10 T15_T16","10773774",10,1635,1804,"CONCLUSIONS: The results indicate that group psychotherapy is able to decrease alexithymia and that for many patients this change can be maintained for at least 2 years. ","controls","group psychotherapy",1674,1692,"alexithymia",1714,1724,"train-set","CONCLUSIONS:",27,"Over the 2-year follow-up period, patients with decreased alexithymia following group therapy experienced fewer cardiac events (reinfarction, sudden cardiac death, or rehospitalization for rhythm disorder or severe angina) than patients whose alexithymia remained unchanged.  CONCLUSIONS: The results indicate that group psychotherapy is able to decrease alexithymia and that for many patients this change can be maintained for at least 2 years.  A reduction in the degree of alexithymia seems to influence favorably the clinical course of CHD. ","Over the 2-year follow-up period, patients with decreased alexithymia following group therapy experienced fewer cardiac events (reinfarction, sudden cardiac death, or rehospitalization for rhythm disorder or severe angina) than patients whose alexithymia remained unchanged.  CONCLUSIONS: The results indicate that[FACTOR]y is able to decrease[OUTCOME]a and that for many patients this change can be maintained for at least 2 years.  A reduction in the degree of alexithymia seems to influence favorably the clinical course of CHD.",79
"10777010 1 T2_T28","10777010",1,1,208,"Alcohol, tobacco and coffee consumption and the risk of pancreatic cancer: results from the Canadian Enhanced Surveillance System case-control project.  Canadian Cancer Registries Epidemiology Research Group. ","no_relation","Alcohol",1,7,"pancreatic cancer",57,73,"train-set","title",27," Alcohol, tobacco and coffee consumption and the risk of pancreatic cancer: results from the Canadian Enhanced Surveillance System case-control project.  Canadian Cancer Registries Epidemiology Research Group.  The relationship between alcohol, tobacco and coffee consumption and pancreatic cancer was investigated using population-based case-control data obtained from eight Canadian provinces. ","[FACTOR]l, tobacco and coffee consumption and the risk of[OUTCOME]r: results from the Canadian Enhanced Surveillance System case-control project.  Canadian Cancer Registries Epidemiology Research Group.  The relationship between alcohol, tobacco and coffee consumption and pancreatic cancer was investigated using population-based case-control data obtained from eight Canadian provinces.",51
"10777010 5 T6_T7","10777010",5,580,740,"Male subjects with 35 or more cigarette pack-years had an increased risk of developing pancreatic cancer relative to never smokers (OR= 1.46, 95% CI 1.00-2.14). ","positive_statistical_association","cigarette",610,618,"pancreatic cancer",667,683,"test-set","",27,"Questionnaire data were obtained directly from 76% of the cases.  Male subjects with 35 or more cigarette pack-years had an increased risk of developing pancreatic cancer relative to never smokers (OR= 1.46, 95% CI 1.00-2.14).  Similarly, women reporting at least 23 cigarette pack-years of smoking had an odds ratio of 1.84 (95% CI 1.25-2.69). ","Questionnaire data were obtained directly from 76% of the cases.  Male subjects with 35 or more[FACTOR]e pack-years had an increased risk of developing[OUTCOME]r relative to never smokers (OR= 1.46, 95% CI 1.00-2.14).  Similarly, women reporting at least 23 cigarette pack-years of smoking had an odds ratio of 1.84 (95% CI 1.25-2.69).",58
"10777010 7 T10_T11","10777010",7,858,971,"For the most part, consumption of total alcohol, wine, liquor and beer was not associated with pancreatic cancer. ","no_statistical_association","beer",924,927,"pancreatic cancer",953,969,"test-set","",18,"Similarly, women reporting at least 23 cigarette pack-years of smoking had an odds ratio of 1.84 (95% CI 1.25-2.69).  For the most part, consumption of total alcohol, wine, liquor and beer was not associated with pancreatic cancer.  Coffee drinking was not related to pancreatic cancer. ","Similarly, women reporting at least 23 cigarette pack-years of smoking had an odds ratio of 1.84 (95% CI 1.25-2.69).  For the most part, consumption of total alcohol, wine, liquor and[FACTOR]r was not associated with[OUTCOME]r.  Coffee drinking was not related to pancreatic cancer.",47
"10777010 7 T11_T15","10777010",7,858,971,"For the most part, consumption of total alcohol, wine, liquor and beer was not associated with pancreatic cancer. ","no_statistical_association","alcohol",898,904,"pancreatic cancer",953,969,"test-set","",18,"Similarly, women reporting at least 23 cigarette pack-years of smoking had an odds ratio of 1.84 (95% CI 1.25-2.69).  For the most part, consumption of total alcohol, wine, liquor and beer was not associated with pancreatic cancer.  Coffee drinking was not related to pancreatic cancer. ","Similarly, women reporting at least 23 cigarette pack-years of smoking had an odds ratio of 1.84 (95% CI 1.25-2.69).  For the most part, consumption of total[FACTOR]l, wine, liquor and beer was not associated with[OUTCOME]r.  Coffee drinking was not related to pancreatic cancer.",47
"10777010 7 T11_T16","10777010",7,858,971,"For the most part, consumption of total alcohol, wine, liquor and beer was not associated with pancreatic cancer. ","no_statistical_association","wine",907,910,"pancreatic cancer",953,969,"test-set","",18,"Similarly, women reporting at least 23 cigarette pack-years of smoking had an odds ratio of 1.84 (95% CI 1.25-2.69).  For the most part, consumption of total alcohol, wine, liquor and beer was not associated with pancreatic cancer.  Coffee drinking was not related to pancreatic cancer. ","Similarly, women reporting at least 23 cigarette pack-years of smoking had an odds ratio of 1.84 (95% CI 1.25-2.69).  For the most part, consumption of total alcohol,[FACTOR]e, liquor and beer was not associated with[OUTCOME]r.  Coffee drinking was not related to pancreatic cancer.",47
