"pair_key","doc_id","sentence_id","start","end","text","relation_type","LSF_entity","LSF_entity_start","LSF_entity_end","disease_entity","disease_entity_start","disease_entity_end","Data_Set","section","word_count","context_text","masked_context_text","context_word_count"
"10516985 16 T18_T20","10516985",16,2323,2611,"The epidemiologic studies of hyperhomocysteinemia are impressive enough to give folic acid (or vitamin B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed. ","treats","vitamin B6",2418,2427,"hyperhomocysteinemia",2352,2371,"dev-set","",42,"Nutritional supplements for cardiovascular disorders are generally geared to prevention.  The United States Department of Agriculture has good recommendations to prevent atherosclerosis; a stricter version by Ornish was shown to reverse coronary heart disease, and the low meat, high fruit, and vegetable DASH diet has been found to decrease hypertension.  The epidemiologic studies of hyperhomocysteinemia are impressive enough to give folic acid (or vitamin B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed.  Soluble fiber has several positive studies in reduction of cholesterol levels and generally is accepted.  The data on vitamin E are the most confusing. ","Nutritional supplements for cardiovascular disorders are generally geared to prevention.  The United States Department of Agriculture has good recommendations to prevent atherosclerosis; a stricter version by Ornish was shown to reverse coronary heart disease, and the low meat, high fruit, and vegetable DASH diet has been found to decrease hypertension.  The epidemiologic studies o[OUTCOME]ia are impressive enough to give folic acid (o[FACTOR]B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed.  Soluble fiber has several positive studies in reduction of cholesterol levels and generally is accepted.  The data on vitamin E are the most confusing.",116
"10516985 16 T18_T21","10516985",16,2323,2611,"The epidemiologic studies of hyperhomocysteinemia are impressive enough to give folic acid (or vitamin B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed. ","treats","supplements",2437,2447,"hyperhomocysteinemia",2352,2371,"dev-set","",42,"Nutritional supplements for cardiovascular disorders are generally geared to prevention.  The United States Department of Agriculture has good recommendations to prevent atherosclerosis; a stricter version by Ornish was shown to reverse coronary heart disease, and the low meat, high fruit, and vegetable DASH diet has been found to decrease hypertension.  The epidemiologic studies of hyperhomocysteinemia are impressive enough to give folic acid (or vitamin B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed.  Soluble fiber has several positive studies in reduction of cholesterol levels and generally is accepted.  The data on vitamin E are the most confusing. ","Nutritional supplements for cardiovascular disorders are generally geared to prevention.  The United States Department of Agriculture has good recommendations to prevent atherosclerosis; a stricter version by Ornish was shown to reverse coronary heart disease, and the low meat, high fruit, and vegetable DASH diet has been found to decrease hypertension.  The epidemiologic studies o[OUTCOME]ia are impressive enough to give folic acid (or vitamin B6 or B12[FACTOR]ts to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed.  Soluble fiber has several positive studies in reduction of cholesterol levels and generally is accepted.  The data on vitamin E are the most confusing.",116
"10516985 16 T18_T4","10516985",16,2323,2611,"The epidemiologic studies of hyperhomocysteinemia are impressive enough to give folic acid (or vitamin B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed. ","treats","B12",2432,2434,"hyperhomocysteinemia",2352,2371,"dev-set","",42,"Nutritional supplements for cardiovascular disorders are generally geared to prevention.  The United States Department of Agriculture has good recommendations to prevent atherosclerosis; a stricter version by Ornish was shown to reverse coronary heart disease, and the low meat, high fruit, and vegetable DASH diet has been found to decrease hypertension.  The epidemiologic studies of hyperhomocysteinemia are impressive enough to give folic acid (or vitamin B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed.  Soluble fiber has several positive studies in reduction of cholesterol levels and generally is accepted.  The data on vitamin E are the most confusing. ","Nutritional supplements for cardiovascular disorders are generally geared to prevention.  The United States Department of Agriculture has good recommendations to prevent atherosclerosis; a stricter version by Ornish was shown to reverse coronary heart disease, and the low meat, high fruit, and vegetable DASH diet has been found to decrease hypertension.  The epidemiologic studies o[OUTCOME]ia are impressive enough to give folic acid (or vitamin B6 o[FACTOR]12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed.  Soluble fiber has several positive studies in reduction of cholesterol levels and generally is accepted.  The data on vitamin E are the most confusing.",116
"10516985 21 T24_T7","10516985",21,3099,3190,"Vitamin E also was successful in prevention of restenosis after PTCA in one clinical trial. ","prevents","Vitamin E",3099,3107,"restenosis after PTCA",3146,3166,"dev-set","",15,"This vitamin was not helpful in cerebrovascular prevention in China and not helpful at relatively small doses (50 mg) in the United States or Finland against major coronary events.  Levels of 400 mg appeared to decrease cardiovascular disease in the United States in studies based on reports by patients and in one large clinical trial.  Vitamin E also was successful in prevention of restenosis after PTCA in one clinical trial.  Both of these clinical trials need to be repeated in other developed country populations.  Some nutritional and dietary supplements are justifiably useful at this point in time. ","This vitamin was not helpful in cerebrovascular prevention in China and not helpful at relatively small doses (50 mg) in the United States or Finland against major coronary events.  Levels of 400 mg appeared to decrease cardiovascular disease in the United States in studies based on reports by patients and in one large clinical trial.[FACTOR] E also was successful in prevention o[OUTCOME]CA in one clinical trial.  Both of these clinical trials need to be repeated in other developed country populations.  Some nutritional and dietary supplements are justifiably useful at this point in time.",97
"10516985 3 T3_T47","10516985",3,178,450,"Glucosamine sulfate and chondroitin sulfate have sufficient controlled trials to warrant their use in osteoarthritis, having less side effects than currently used nonsteroidal anti-inflammatory drugs, and are the only treatment shown to prevent progression of the disease. ","treats","Glucosamine sulfate",178,196,"osteoarthritis",280,293,"dev-set","",38," Quality and number of subjects in blinded controlled clinical trials about the nutrition and dietary supplements discussed here is variable.  Glucosamine sulfate and chondroitin sulfate have sufficient controlled trials to warrant their use in osteoarthritis, having less side effects than currently used nonsteroidal anti-inflammatory drugs, and are the only treatment shown to prevent progression of the disease.  Dietary supplements of ephedrine plus caffeine for weight loss (weight loss being the current first line recommendation of physicians for osteoporosis) show some promise, but are not sufficient in number of study subjects.  Phenylpropanolamine is proven successful in weight loss. ","Quality and number of subjects in blinded controlled clinical trials about the nutrition and dietary supplements discussed here is variable.[FACTOR]te and chondroitin sulfate have sufficient controlled trials to warrant their use i[OUTCOME]is, having less side effects than currently used nonsteroidal anti-inflammatory drugs, and are the only treatment shown to prevent progression of the disease.  Dietary supplements of ephedrine plus caffeine for weight loss (weight loss being the current first line recommendation of physicians for osteoporosis) show some promise, but are not sufficient in number of study subjects.  Phenylpropanolamine is proven successful in weight loss.",98
"10516985 3 T3_T48","10516985",3,178,450,"Glucosamine sulfate and chondroitin sulfate have sufficient controlled trials to warrant their use in osteoarthritis, having less side effects than currently used nonsteroidal anti-inflammatory drugs, and are the only treatment shown to prevent progression of the disease. ","treats","chondroitin sulfate",202,220,"osteoarthritis",280,293,"dev-set","",38," Quality and number of subjects in blinded controlled clinical trials about the nutrition and dietary supplements discussed here is variable.  Glucosamine sulfate and chondroitin sulfate have sufficient controlled trials to warrant their use in osteoarthritis, having less side effects than currently used nonsteroidal anti-inflammatory drugs, and are the only treatment shown to prevent progression of the disease.  Dietary supplements of ephedrine plus caffeine for weight loss (weight loss being the current first line recommendation of physicians for osteoporosis) show some promise, but are not sufficient in number of study subjects.  Phenylpropanolamine is proven successful in weight loss. ","Quality and number of subjects in blinded controlled clinical trials about the nutrition and dietary supplements discussed here is variable.  Glucosamine sulfate an[FACTOR]te have sufficient controlled trials to warrant their use i[OUTCOME]is, having less side effects than currently used nonsteroidal anti-inflammatory drugs, and are the only treatment shown to prevent progression of the disease.  Dietary supplements of ephedrine plus caffeine for weight loss (weight loss being the current first line recommendation of physicians for osteoporosis) show some promise, but are not sufficient in number of study subjects.  Phenylpropanolamine is proven successful in weight loss.",98
"10516985 4 T51_T6","10516985",4,451,673,"Dietary supplements of ephedrine plus caffeine for weight loss (weight loss being the current first line recommendation of physicians for osteoporosis) show some promise, but are not sufficient in number of study subjects. ","no_relation","ephedrine",474,482,"osteoporosis",589,600,"dev-set","",33,"Quality and number of subjects in blinded controlled clinical trials about the nutrition and dietary supplements discussed here is variable.  Glucosamine sulfate and chondroitin sulfate have sufficient controlled trials to warrant their use in osteoarthritis, having less side effects than currently used nonsteroidal anti-inflammatory drugs, and are the only treatment shown to prevent progression of the disease.  Dietary supplements of ephedrine plus caffeine for weight loss (weight loss being the current first line recommendation of physicians for osteoporosis) show some promise, but are not sufficient in number of study subjects.  Phenylpropanolamine is proven successful in weight loss.  Both ephedrine and phenylpropanolamine have resulted in deaths and hence are worrisome [table: see text] as an over-the-counter dietary supplement. ","Quality and number of subjects in blinded controlled clinical trials about the nutrition and dietary supplements discussed here is variable.  Glucosamine sulfate and chondroitin sulfate have sufficient controlled trials to warrant their use in osteoarthritis, having less side effects than currently used nonsteroidal anti-inflammatory drugs, and are the only treatment shown to prevent progression of the disease.  Dietary supplements o[FACTOR]ne plus caffeine for weight loss (weight loss being the current first line recommendation of physicians fo[OUTCOME]is) show some promise, but are not sufficient in number of study subjects.  Phenylpropanolamine is proven successful in weight loss.  Both ephedrine and phenylpropanolamine have resulted in deaths and hence are worrisome [table: see text] as an over-the-counter dietary supplement.",120
"10629447 5 T10_T16","10629447",5,410,739,"Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor. ","no_relation","diesel exhaust",645,658,"allergic diseases",713,729,"train-set","",47,"Genetic factors are unlikely to explain these rapid increases.  Among the potential environmental factors, exposure to ambient air pollution has been intensely debated.  Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor.  Rather, factors associated with the lifestyle of populations or families, such as socioeconomic status, allergen exposure, sibship size, early childhood infections, dietary habits, and growing up in anthroposophic families or a farming environment, may prove to be of greater relevance.  The future challenge is to tackle the complex interplay between environmental factors and genetic determinants that will eventually contribute to a better understanding and to better prevention strategies for such multifactorial conditions as asthma and allergies. ","Genetic factors are unlikely to explain these rapid increases.  Among the potential environmental factors, exposure to ambient air pollution has been intensely debated.  Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter[FACTOR]st, and ozone is causally related with the inception o[OUTCOME]es is poor.  Rather, factors associated with the lifestyle of populations or families, such as socioeconomic status, allergen exposure, sibship size, early childhood infections, dietary habits, and growing up in anthroposophic families or a farming environment, may prove to be of greater relevance.  The future challenge is to tackle the complex interplay between environmental factors and genetic determinants that will eventually contribute to a better understanding and to better prevention strategies for such multifactorial conditions as asthma and allergies.",146
"10629447 5 T10_T8","10629447",5,410,739,"Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor. ","no_relation","sulfur dioxide",609,622,"allergic diseases",713,729,"train-set","",47,"Genetic factors are unlikely to explain these rapid increases.  Among the potential environmental factors, exposure to ambient air pollution has been intensely debated.  Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor.  Rather, factors associated with the lifestyle of populations or families, such as socioeconomic status, allergen exposure, sibship size, early childhood infections, dietary habits, and growing up in anthroposophic families or a farming environment, may prove to be of greater relevance.  The future challenge is to tackle the complex interplay between environmental factors and genetic determinants that will eventually contribute to a better understanding and to better prevention strategies for such multifactorial conditions as asthma and allergies. ","Genetic factors are unlikely to explain these rapid increases.  Among the potential environmental factors, exposure to ambient air pollution has been intensely debated.  Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution t[FACTOR]de, particulate matter, diesel exhaust, and ozone is causally related with the inception o[OUTCOME]es is poor.  Rather, factors associated with the lifestyle of populations or families, such as socioeconomic status, allergen exposure, sibship size, early childhood infections, dietary habits, and growing up in anthroposophic families or a farming environment, may prove to be of greater relevance.  The future challenge is to tackle the complex interplay between environmental factors and genetic determinants that will eventually contribute to a better understanding and to better prevention strategies for such multifactorial conditions as asthma and allergies.",146
"10629447 5 T14_T5","10629447",5,410,739,"Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor. ","positive_statistical_association","passive smoking",418,432,"bronchial hyperresponsiveness",505,533,"train-set","",47,"Genetic factors are unlikely to explain these rapid increases.  Among the potential environmental factors, exposure to ambient air pollution has been intensely debated.  Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor.  Rather, factors associated with the lifestyle of populations or families, such as socioeconomic status, allergen exposure, sibship size, early childhood infections, dietary habits, and growing up in anthroposophic families or a farming environment, may prove to be of greater relevance.  The future challenge is to tackle the complex interplay between environmental factors and genetic determinants that will eventually contribute to a better understanding and to better prevention strategies for such multifactorial conditions as asthma and allergies. ","Genetic factors are unlikely to explain these rapid increases.  Among the potential environmental factors, exposure to ambient air pollution has been intensely debated.  Beside[FACTOR]ng, which has convincingly been shown to increase the risk for asthma an[OUTCOME]ss among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor.  Rather, factors associated with the lifestyle of populations or families, such as socioeconomic status, allergen exposure, sibship size, early childhood infections, dietary habits, and growing up in anthroposophic families or a farming environment, may prove to be of greater relevance.  The future challenge is to tackle the complex interplay between environmental factors and genetic determinants that will eventually contribute to a better understanding and to better prevention strategies for such multifactorial conditions as asthma and allergies.",146
"10629447 5 T15_T6","10629447",5,410,739,"Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor. ","no_relation","ozone",665,669,"asthma",494,499,"train-set","",47,"Genetic factors are unlikely to explain these rapid increases.  Among the potential environmental factors, exposure to ambient air pollution has been intensely debated.  Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor.  Rather, factors associated with the lifestyle of populations or families, such as socioeconomic status, allergen exposure, sibship size, early childhood infections, dietary habits, and growing up in anthroposophic families or a farming environment, may prove to be of greater relevance.  The future challenge is to tackle the complex interplay between environmental factors and genetic determinants that will eventually contribute to a better understanding and to better prevention strategies for such multifactorial conditions as asthma and allergies. ","Genetic factors are unlikely to explain these rapid increases.  Among the potential environmental factors, exposure to ambient air pollution has been intensely debated.  Besides passive smoking, which has convincingly been shown to increase the risk fo[OUTCOME]ma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, an[FACTOR]ne is causally related with the inception of allergic diseases is poor.  Rather, factors associated with the lifestyle of populations or families, such as socioeconomic status, allergen exposure, sibship size, early childhood infections, dietary habits, and growing up in anthroposophic families or a farming environment, may prove to be of greater relevance.  The future challenge is to tackle the complex interplay between environmental factors and genetic determinants that will eventually contribute to a better understanding and to better prevention strategies for such multifactorial conditions as asthma and allergies.",146
