"pair_key","doc_id","sentence_id","start","end","text","relation_type","LSF_entity","LSF_entity_start","LSF_entity_end","disease_entity","disease_entity_start","disease_entity_end","Data_Set","section","word_count","context_text","masked_context_text","context_word_count"
"10516985 16 T18_T20","10516985",16,2323,2611,"The epidemiologic studies of hyperhomocysteinemia are impressive enough to give folic acid (or vitamin B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed. ","treats","vitamin B6",2418,2427,"hyperhomocysteinemia",2352,2371,"dev-set","",42,"The epidemiologic studies of hyperhomocysteinemia are impressive enough to give folic acid (or vitamin B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed. ","The epidemiologic studies of [OUTCOME] are impressive enough to give folic acid (or [FACTOR] or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed.",42
"10516985 16 T18_T21","10516985",16,2323,2611,"The epidemiologic studies of hyperhomocysteinemia are impressive enough to give folic acid (or vitamin B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed. ","treats","supplements",2437,2447,"hyperhomocysteinemia",2352,2371,"dev-set","",42,"The epidemiologic studies of hyperhomocysteinemia are impressive enough to give folic acid (or vitamin B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed. ","The epidemiologic studies of [OUTCOME] are impressive enough to give folic acid (or vitamin B6 or B12) [FACTOR] to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed.",42
"10516985 16 T18_T4","10516985",16,2323,2611,"The epidemiologic studies of hyperhomocysteinemia are impressive enough to give folic acid (or vitamin B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed. ","treats","B12",2432,2434,"hyperhomocysteinemia",2352,2371,"dev-set","",42,"The epidemiologic studies of hyperhomocysteinemia are impressive enough to give folic acid (or vitamin B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed. ","The epidemiologic studies of [OUTCOME] are impressive enough to give folic acid (or vitamin B6 or [FACTOR]) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed.",42
"10516985 21 T24_T7","10516985",21,3099,3190,"Vitamin E also was successful in prevention of restenosis after PTCA in one clinical trial. ","prevents","Vitamin E",3099,3107,"restenosis after PTCA",3146,3166,"dev-set","",15,"Vitamin E also was successful in prevention of restenosis after PTCA in one clinical trial. ","[FACTOR] also was successful in prevention of [OUTCOME] in one clinical trial.",15
"10516985 3 T3_T47","10516985",3,178,450,"Glucosamine sulfate and chondroitin sulfate have sufficient controlled trials to warrant their use in osteoarthritis, having less side effects than currently used nonsteroidal anti-inflammatory drugs, and are the only treatment shown to prevent progression of the disease. ","treats","Glucosamine sulfate",178,196,"osteoarthritis",280,293,"dev-set","",38,"Glucosamine sulfate and chondroitin sulfate have sufficient controlled trials to warrant their use in osteoarthritis, having less side effects than currently used nonsteroidal anti-inflammatory drugs, and are the only treatment shown to prevent progression of the disease. ","[FACTOR] and chondroitin sulfate have sufficient controlled trials to warrant their use in [OUTCOME], having less side effects than currently used nonsteroidal anti-inflammatory drugs, and are the only treatment shown to prevent progression of the disease.",38
"10516985 3 T3_T48","10516985",3,178,450,"Glucosamine sulfate and chondroitin sulfate have sufficient controlled trials to warrant their use in osteoarthritis, having less side effects than currently used nonsteroidal anti-inflammatory drugs, and are the only treatment shown to prevent progression of the disease. ","treats","chondroitin sulfate",202,220,"osteoarthritis",280,293,"dev-set","",38,"Glucosamine sulfate and chondroitin sulfate have sufficient controlled trials to warrant their use in osteoarthritis, having less side effects than currently used nonsteroidal anti-inflammatory drugs, and are the only treatment shown to prevent progression of the disease. ","Glucosamine sulfate and [FACTOR] have sufficient controlled trials to warrant their use in [OUTCOME], having less side effects than currently used nonsteroidal anti-inflammatory drugs, and are the only treatment shown to prevent progression of the disease.",38
"10516985 4 T51_T6","10516985",4,451,673,"Dietary supplements of ephedrine plus caffeine for weight loss (weight loss being the current first line recommendation of physicians for osteoporosis) show some promise, but are not sufficient in number of study subjects. ","no_relation","ephedrine",474,482,"osteoporosis",589,600,"dev-set","",33,"Dietary supplements of ephedrine plus caffeine for weight loss (weight loss being the current first line recommendation of physicians for osteoporosis) show some promise, but are not sufficient in number of study subjects. ","Dietary supplements of [FACTOR] plus caffeine for weight loss (weight loss being the current first line recommendation of physicians for [OUTCOME]) show some promise, but are not sufficient in number of study subjects.",33
"10629447 5 T10_T16","10629447",5,410,739,"Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor. ","no_relation","diesel exhaust",645,658,"allergic diseases",713,729,"train-set","",47,"Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor. ","Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, [FACTOR], and ozone is causally related with the inception of [OUTCOME] is poor.",47
"10629447 5 T10_T8","10629447",5,410,739,"Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor. ","no_relation","sulfur dioxide",609,622,"allergic diseases",713,729,"train-set","",47,"Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor. ","Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to [FACTOR], particulate matter, diesel exhaust, and ozone is causally related with the inception of [OUTCOME] is poor.",47
"10629447 5 T14_T5","10629447",5,410,739,"Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor. ","positive_statistical_association","passive smoking",418,432,"bronchial hyperresponsiveness",505,533,"train-set","",47,"Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor. ","Besides [FACTOR], which has convincingly been shown to increase the risk for asthma and [OUTCOME] among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor.",47
"10629447 5 T15_T6","10629447",5,410,739,"Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor. ","no_relation","ozone",665,669,"asthma",494,499,"train-set","",47,"Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor. ","Besides passive smoking, which has convincingly been shown to increase the risk for [OUTCOME] and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and [FACTOR] is causally related with the inception of allergic diseases is poor.",47
"10629447 5 T5_T6","10629447",5,410,739,"Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor. ","positive_statistical_association","passive smoking",418,432,"asthma",494,499,"train-set","",47,"Besides passive smoking, which has convincingly been shown to increase the risk for asthma and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor. ","Besides [FACTOR], which has convincingly been shown to increase the risk for [OUTCOME] and bronchial hyperresponsiveness among exposed children, the evidence to suggest that outdoor pollution to sulfur dioxide, particulate matter, diesel exhaust, and ozone is causally related with the inception of allergic diseases is poor.",47
"10773774 10 T15_T16","10773774",10,1635,1804,"CONCLUSIONS: The results indicate that group psychotherapy is able to decrease alexithymia and that for many patients this change can be maintained for at least 2 years. ","controls","group psychotherapy",1674,1692,"alexithymia",1714,1724,"train-set","CONCLUSIONS:",27,"CONCLUSIONS: The results indicate that group psychotherapy is able to decrease alexithymia and that for many patients this change can be maintained for at least 2 years. ","CONCLUSIONS: The results indicate that [FACTOR] is able to decrease [OUTCOME] and that for many patients this change can be maintained for at least 2 years.",27
"10777010 1 T2_T28","10777010",1,1,208,"Alcohol, tobacco and coffee consumption and the risk of pancreatic cancer: results from the Canadian Enhanced Surveillance System case-control project.  Canadian Cancer Registries Epidemiology Research Group. ","no_relation","Alcohol",1,7,"pancreatic cancer",57,73,"train-set","title",27,"Alcohol, tobacco and coffee consumption and the risk of pancreatic cancer: results from the Canadian Enhanced Surveillance System case-control project.  Canadian Cancer Registries Epidemiology Research Group. ","[FACTOR], tobacco and coffee consumption and the risk of [OUTCOME]: results from the Canadian Enhanced Surveillance System case-control project.  Canadian Cancer Registries Epidemiology Research Group.",27
"10777010 5 T6_T7","10777010",5,580,740,"Male subjects with 35 or more cigarette pack-years had an increased risk of developing pancreatic cancer relative to never smokers (OR= 1.46, 95% CI 1.00-2.14). ","positive_statistical_association","cigarette",610,618,"pancreatic cancer",667,683,"test-set","",27,"Male subjects with 35 or more cigarette pack-years had an increased risk of developing pancreatic cancer relative to never smokers (OR= 1.46, 95% CI 1.00-2.14). ","Male subjects with 35 or more [FACTOR] pack-years had an increased risk of developing [OUTCOME] relative to never smokers (OR= 1.46, 95% CI 1.00-2.14).",27
"10777010 7 T10_T11","10777010",7,858,971,"For the most part, consumption of total alcohol, wine, liquor and beer was not associated with pancreatic cancer. ","no_statistical_association","beer",924,927,"pancreatic cancer",953,969,"test-set","",18,"For the most part, consumption of total alcohol, wine, liquor and beer was not associated with pancreatic cancer. ","For the most part, consumption of total alcohol, wine, liquor and [FACTOR] was not associated with [OUTCOME].",18
"10777010 7 T11_T15","10777010",7,858,971,"For the most part, consumption of total alcohol, wine, liquor and beer was not associated with pancreatic cancer. ","no_statistical_association","alcohol",898,904,"pancreatic cancer",953,969,"test-set","",18,"For the most part, consumption of total alcohol, wine, liquor and beer was not associated with pancreatic cancer. ","For the most part, consumption of total [FACTOR], wine, liquor and beer was not associated with [OUTCOME].",18
"10777010 7 T11_T16","10777010",7,858,971,"For the most part, consumption of total alcohol, wine, liquor and beer was not associated with pancreatic cancer. ","no_statistical_association","wine",907,910,"pancreatic cancer",953,969,"test-set","",18,"For the most part, consumption of total alcohol, wine, liquor and beer was not associated with pancreatic cancer. ","For the most part, consumption of total alcohol, [FACTOR], liquor and beer was not associated with [OUTCOME].",18
"10777010 7 T11_T17","10777010",7,858,971,"For the most part, consumption of total alcohol, wine, liquor and beer was not associated with pancreatic cancer. ","no_statistical_association","liquor",913,918,"pancreatic cancer",953,969,"test-set","",18,"For the most part, consumption of total alcohol, wine, liquor and beer was not associated with pancreatic cancer. ","For the most part, consumption of total alcohol, wine, [FACTOR] and beer was not associated with [OUTCOME].",18
"10777010 8 T12_T18","10777010",8,972,1025,"Coffee drinking was not related to pancreatic cancer. ","no_statistical_association","Coffee drinking",972,986,"pancreatic cancer",1007,1023,"test-set","",8,"Coffee drinking was not related to pancreatic cancer. ","[FACTOR] was not related to [OUTCOME].",8
"10834031 2 T6_T7","10834031",2,117,188,"We review studies on hair dyes and lymphomas and multiple myeloma (MM). ","no_relation","hair dyes",138,146,"lymphomas",152,160,"train-set","",12,"We review studies on hair dyes and lymphomas and multiple myeloma (MM). ","We review studies on [FACTOR] and [OUTCOME] and multiple myeloma (MM).",12
"10834031 7 T14_T29","10834031",7,832,1023,"For Hodgkin's disease, one case-control study reported some positive associations with use of permanent hair dyes, whereas two cohort studies found no associations with ever use of hair dyes. ","positive_statistical_association","hair dyes",936,944,"Hodgkin's disease",836,852,"train-set","",30,"For Hodgkin's disease, one case-control study reported some positive associations with use of permanent hair dyes, whereas two cohort studies found no associations with ever use of hair dyes. ","For [OUTCOME], one case-control study reported some positive associations with use of permanent [FACTOR], whereas two cohort studies found no associations with ever use of hair dyes.",30
"10834031 7 T15_T29","10834031",7,832,1023,"For Hodgkin's disease, one case-control study reported some positive associations with use of permanent hair dyes, whereas two cohort studies found no associations with ever use of hair dyes. ","no_statistical_association","hair dyes",1013,1021,"Hodgkin's disease",836,852,"train-set","",30,"For Hodgkin's disease, one case-control study reported some positive associations with use of permanent hair dyes, whereas two cohort studies found no associations with ever use of hair dyes. ","For [OUTCOME], one case-control study reported some positive associations with use of permanent hair dyes, whereas two cohort studies found no associations with ever use of [FACTOR].",30
"10972161 1 T1_T41","10972161",1,1,112,"Mechanism of antihypertensive effect of dietary potassium in experimental volume expanded hypertension in rats. ","treats","dietary potassium",41,57,"hypertension",91,102,"train-set","title",14,"Mechanism of antihypertensive effect of dietary potassium in experimental volume expanded hypertension in rats. ","Mechanism of antihypertensive effect of [FACTOR] in experimental volume expanded [OUTCOME] in rats.",14
"10972161 7 T15_T9","10972161",7,1254,1329,"As expected, compared to RRM-0Na rats, RRM-NaK rats developed hypertension. ","causes","RRM-NaK",1293,1299,"hypertension",1316,1327,"train-set","",12,"As expected, compared to RRM-0Na rats, RRM-NaK rats developed hypertension. ","As expected, compared to RRM-0Na rats, [FACTOR] rats developed [OUTCOME].",12
"11034689 29 T25_T46","11034689",29,4038,4301,"REVIEWER'S CONCLUSIONS: There is small body of evidence for the efficacy of cognitive-behaviour therapy in bulimia nervosa and similar syndromes, but the quality of trials is very variable (e.g. the majority are not blinded) and sample sizes are often very small. ","treats","cognitive-behaviour therapy",4114,4140,"bulimia nervosa",4145,4159,"test-set","OBJECTIVES:",42,"REVIEWER'S CONCLUSIONS: There is small body of evidence for the efficacy of cognitive-behaviour therapy in bulimia nervosa and similar syndromes, but the quality of trials is very variable (e.g. the majority are not blinded) and sample sizes are often very small. ","REVIEWER'S CONCLUSIONS: There is small body of evidence for the efficacy of [FACTOR] in [OUTCOME] and similar syndromes, but the quality of trials is very variable (e.g. the majority are not blinded) and sample sizes are often very small.",42
"11034689 3 T36_T7","11034689",3,163,279,"A specific psychotherapy, cognitive behaviour therapy (CBT) has been developed for the treatment of bulimia nervosa. ","treats","cognitive behaviour therapy",189,215,"bulimia nervosa",263,277,"test-set","BACKGROUND:",16,"A specific psychotherapy, cognitive behaviour therapy (CBT) has been developed for the treatment of bulimia nervosa. ","A specific psychotherapy, [FACTOR] (CBT) has been developed for the treatment of [OUTCOME].",16
"11034689 3 T6_T7","11034689",3,163,279,"A specific psychotherapy, cognitive behaviour therapy (CBT) has been developed for the treatment of bulimia nervosa. ","treats","psychotherapy",174,186,"bulimia nervosa",263,277,"test-set","BACKGROUND:",16,"A specific psychotherapy, cognitive behaviour therapy (CBT) has been developed for the treatment of bulimia nervosa. ","A specific [FACTOR], cognitive behaviour therapy (CBT) has been developed for the treatment of [OUTCOME].",16
"11034689 30 T29_T34","11034689",30,4302,4464,"More trials are needed, particularly for binge eating disorder and other EDNOS syndromes, and evaluating other psychotherapies and less intensive psychotherapies. ","no_relation","psychotherapies",4413,4427,"binge eating disorder",4343,4363,"train-set","OBJECTIVES:",21,"More trials are needed, particularly for binge eating disorder and other EDNOS syndromes, and evaluating other psychotherapies and less intensive psychotherapies. ","More trials are needed, particularly for [OUTCOME] and other EDNOS syndromes, and evaluating other [FACTOR] and less intensive psychotherapies.",21
"11034689 5 T32_T47","11034689",5,390,556,"OBJECTIVES: The review aims to evaluate the psychotherapeutic treatments for those with binge eating syndromes, that have been tested in randomised controlled trials. ","no_relation","psychotherapeutic treatments",434,461,"binge eating syndromes",478,499,"train-set","OBJECTIVES:",23,"OBJECTIVES: The review aims to evaluate the psychotherapeutic treatments for those with binge eating syndromes, that have been tested in randomised controlled trials. ","OBJECTIVES: The review aims to evaluate the [FACTOR] for those with [OUTCOME], that have been tested in randomised controlled trials.",23
"11058482 1 T2_T28","11058482",1,1,106,"Nicotine transdermal patch and atypical antipsychotic medications for smoking cessation in schizophrenia. ","no_relation","Nicotine transdermal patch",1,26,"schizophrenia",92,104,"train-set","title",12,"Nicotine transdermal patch and atypical antipsychotic medications for smoking cessation in schizophrenia. ","[FACTOR] and atypical antipsychotic medications for smoking cessation in [OUTCOME].",12
"11058482 10 T15_T64","11058482",10,1594,2039,"CONCLUSIONS: The results suggest that 1) smoking cessation rates with the nicotine transdermal patch are modest in schizophrenia, 2) specialized group therapy for schizophrenic patients is not significantly different from American Lung Association group therapy in its effect on smoking cessation, and 3) atypical agents may be superior to typical agents in combination with the nicotine transdermal patch for smoking cessation in schizophrenia. ","no_relation","group therapy",1842,1854,"schizophrenia",1709,1721,"train-set","CONCLUSIONS:",63,"CONCLUSIONS: The results suggest that 1) smoking cessation rates with the nicotine transdermal patch are modest in schizophrenia, 2) specialized group therapy for schizophrenic patients is not significantly different from American Lung Association group therapy in its effect on smoking cessation, and 3) atypical agents may be superior to typical agents in combination with the nicotine transdermal patch for smoking cessation in schizophrenia. ","CONCLUSIONS: The results suggest that 1) smoking cessation rates with the nicotine transdermal patch are modest in [OUTCOME], 2) specialized group therapy for schizophrenic patients is not significantly different from American Lung Association [FACTOR] in its effect on smoking cessation, and 3) atypical agents may be superior to typical agents in combination with the nicotine transdermal patch for smoking cessation in schizophrenia.",63
"11058482 10 T17_T44","11058482",10,1594,2039,"CONCLUSIONS: The results suggest that 1) smoking cessation rates with the nicotine transdermal patch are modest in schizophrenia, 2) specialized group therapy for schizophrenic patients is not significantly different from American Lung Association group therapy in its effect on smoking cessation, and 3) atypical agents may be superior to typical agents in combination with the nicotine transdermal patch for smoking cessation in schizophrenia. ","no_relation","smoking cessation",1635,1651,"schizophrenia",2025,2037,"test-set","CONCLUSIONS:",63,"CONCLUSIONS: The results suggest that 1) smoking cessation rates with the nicotine transdermal patch are modest in schizophrenia, 2) specialized group therapy for schizophrenic patients is not significantly different from American Lung Association group therapy in its effect on smoking cessation, and 3) atypical agents may be superior to typical agents in combination with the nicotine transdermal patch for smoking cessation in schizophrenia. ","CONCLUSIONS: The results suggest that 1) [FACTOR] rates with the nicotine transdermal patch are modest in schizophrenia, 2) specialized group therapy for schizophrenic patients is not significantly different from American Lung Association group therapy in its effect on smoking cessation, and 3) atypical agents may be superior to typical agents in combination with the nicotine transdermal patch for smoking cessation in [OUTCOME].",63
"11058482 10 T17_T64","11058482",10,1594,2039,"CONCLUSIONS: The results suggest that 1) smoking cessation rates with the nicotine transdermal patch are modest in schizophrenia, 2) specialized group therapy for schizophrenic patients is not significantly different from American Lung Association group therapy in its effect on smoking cessation, and 3) atypical agents may be superior to typical agents in combination with the nicotine transdermal patch for smoking cessation in schizophrenia. ","no_relation","group therapy",1842,1854,"schizophrenia",2025,2037,"train-set","CONCLUSIONS:",63,"CONCLUSIONS: The results suggest that 1) smoking cessation rates with the nicotine transdermal patch are modest in schizophrenia, 2) specialized group therapy for schizophrenic patients is not significantly different from American Lung Association group therapy in its effect on smoking cessation, and 3) atypical agents may be superior to typical agents in combination with the nicotine transdermal patch for smoking cessation in schizophrenia. ","CONCLUSIONS: The results suggest that 1) smoking cessation rates with the nicotine transdermal patch are modest in schizophrenia, 2) specialized group therapy for schizophrenic patients is not significantly different from American Lung Association [FACTOR] in its effect on smoking cessation, and 3) atypical agents may be superior to typical agents in combination with the nicotine transdermal patch for smoking cessation in [OUTCOME].",63
"11058482 10 T35_T51","11058482",10,1594,2039,"CONCLUSIONS: The results suggest that 1) smoking cessation rates with the nicotine transdermal patch are modest in schizophrenia, 2) specialized group therapy for schizophrenic patients is not significantly different from American Lung Association group therapy in its effect on smoking cessation, and 3) atypical agents may be superior to typical agents in combination with the nicotine transdermal patch for smoking cessation in schizophrenia. ","no_relation","nicotine transdermal patch",1973,1998,"schizophrenic",1757,1769,"train-set","CONCLUSIONS:",63,"CONCLUSIONS: The results suggest that 1) smoking cessation rates with the nicotine transdermal patch are modest in schizophrenia, 2) specialized group therapy for schizophrenic patients is not significantly different from American Lung Association group therapy in its effect on smoking cessation, and 3) atypical agents may be superior to typical agents in combination with the nicotine transdermal patch for smoking cessation in schizophrenia. ","CONCLUSIONS: The results suggest that 1) smoking cessation rates with the nicotine transdermal patch are modest in schizophrenia, 2) specialized group therapy for [OUTCOME] patients is not significantly different from American Lung Association group therapy in its effect on smoking cessation, and 3) atypical agents may be superior to typical agents in combination with the [FACTOR] for smoking cessation in schizophrenia.",63
"11058482 10 T46_T51","11058482",10,1594,2039,"CONCLUSIONS: The results suggest that 1) smoking cessation rates with the nicotine transdermal patch are modest in schizophrenia, 2) specialized group therapy for schizophrenic patients is not significantly different from American Lung Association group therapy in its effect on smoking cessation, and 3) atypical agents may be superior to typical agents in combination with the nicotine transdermal patch for smoking cessation in schizophrenia. ","no_relation","smoking cessation",2004,2020,"schizophrenic",1757,1769,"dev-set","CONCLUSIONS:",63,"CONCLUSIONS: The results suggest that 1) smoking cessation rates with the nicotine transdermal patch are modest in schizophrenia, 2) specialized group therapy for schizophrenic patients is not significantly different from American Lung Association group therapy in its effect on smoking cessation, and 3) atypical agents may be superior to typical agents in combination with the nicotine transdermal patch for smoking cessation in schizophrenia. ","CONCLUSIONS: The results suggest that 1) smoking cessation rates with the nicotine transdermal patch are modest in schizophrenia, 2) specialized group therapy for [OUTCOME] patients is not significantly different from American Lung Association group therapy in its effect on smoking cessation, and 3) atypical agents may be superior to typical agents in combination with the nicotine transdermal patch for [FACTOR] in schizophrenia.",63
